C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_20_232.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_20_232.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_20_232.jpg,0,0,0,7.88E-05
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_20_519.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_20_519.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_20_519.jpg,0,0,0,7.73E-05
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_20_723.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_20_723.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_20_723.jpg,0,0,0,7.91E-05
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_20_838.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_20_838.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_20_838.jpg,0,0,0,8.06E-05
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_20_969.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_20_969.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_20_969.jpg,0,0,0,8.00E-05
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_21_102.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_21_102.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_21_102.jpg,0,0,0,7.91E-05
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_21_251.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_21_251.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_21_251.jpg,0,0,0,7.90E-05
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_21_382.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_21_382.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_21_382.jpg,0,0,0,8.08E-05
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_21_508.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_21_508.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_21_508.jpg,0,0.3764028,0,0.5144427
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_21_656.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_21_656.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_21_656.jpg,0,0.7961559,0,1.765282
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_21_783.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_21_783.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_21_783.jpg,-0.3415215,1,0,3.081728
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_21_887.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_21_887.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_21_887.jpg,0,1,0,4.477013
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_22_023.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_22_023.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_22_023.jpg,0,1,0,6.099333
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_22_161.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_22_161.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_22_161.jpg,0,1,0,7.699774
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_22_275.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_22_275.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_22_275.jpg,0,0.6575431,0,8.441528
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_22_392.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_22_392.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_22_392.jpg,0,0.308773,0,8.812887
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_22_523.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_22_523.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_22_523.jpg,-0.393924,0,0,8.618786
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_22_638.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_22_638.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_22_638.jpg,-0.7384416,0,0,8.375065
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_22_771.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_22_771.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_22_771.jpg,-0.3390348,0,0,8.288113
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_22_915.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_22_915.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_22_915.jpg,0,0,0,8.140486
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_23_041.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_23_041.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_23_041.jpg,0,0,0,8.026111
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_23_191.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_23_191.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_23_191.jpg,-0.4499211,0,0,7.803021
C:\Users\LZarzec1\Desktop\Data\IMG\center_2020_12_13_10_10_23_329.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\left_2020_12_13_10_10_23_329.jpg, C:\Users\LZarzec1\Desktop\Data\IMG\right_2020_12_13_10_10_23_329.jpg,-0.03657904,0,0,7.67211
